station,valid,lon,lat,tmpf,dwpf,relh,drct,sknt,p01i,alti,mslp,vsby,gust,skyc1,skyc2,skyc3,skyc4,skyl1,skyl2,skyl3,skyl4,wxcodes,ice_accretion_1hr,ice_accretion_3hr,ice_accretion_6hr,peak_wind_gust,peak_wind_drct,peak_wind_time,feel,metar,snowdepth
LGA,1973-05-01T00:00:00Z,-73.8803,40.7794,57.02,41,54.95,180,12,NA,NA,1022,15,NA,CLR,CLR,CLR,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,57.02,KLGA 010000Z AUTO 18012KT 15SM CLR CLR CLR 14/05 RMK 60630 SLP220 T01390050 53012 IEM_DS3505,NA
LGA,1973-05-01T01:00:00Z,-73.8803,40.7794,56.84,41.9,57.27,200,9,NA,30.2,1022.7,15,NA,SCT,NA,NA,NA,24600,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,56.84,KLGA 010100Z AUTO 20009KT 15SM SCT246 14/06 A3020 RMK SLP227 T01380055 IEM_DS3505,NA
LGA,1973-05-01T02:00:00Z,-73.8803,40.7794,59.9,39.92,47.53,220,10,NA,30.22,1023.4,15,NA,SCT,SCT,NA,NA,9800,24600,NA,NA,NA,NA,NA,NA,NA,NA,NA,59.9,KLGA 010200Z AUTO 22010KT 15SM SCT098 SCT246 16/04 A3022 RMK SLP234 T01550044 IEM_DS3505,NA
LGA,1973-05-01T03:00:00Z,-73.8803,40.7794,59,41,51.18,240,9,NA,30.24,1024,15,NA,SCT,BKN,CLR,CLR,9800,24600,NA,NA,NA,NA,NA,NA,NA,NA,NA,59,KLGA 010300Z AUTO 24009KT 15SM SCT098 BKN246 CLR CLR 15/05 A3024 RMK SLP240 T01500050 52022 IEM_DS3505,NA
LGA,1973-05-01T04:00:00Z,-73.8803,40.7794,57.92,39.92,51.02,230,7,NA,30.25,1024.4,15,NA,SCT,   ,   ,   ,12000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,57.92,METAR KLGA 010400Z 23007KT 15SM SCT120 14/04 A3025 RMK SLP244 T01440044,NA
LGA,1973-05-01T05:00:00Z,-73.8803,40.7794,57.92,41,53.2,190,5,NA,30.25,1024.4,9,NA,SCT,   ,   ,   ,25000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,57.92,METAR KLGA 010500Z 19005KT 9SM SCT250 14/05 A3025 RMK SLP244 T01440050,NA
LGA,1973-05-01T06:00:00Z,-73.8803,40.7794,57.02,41,54.95,200,5,NA,30.25,1024.4,8,NA,CLR,   ,   ,   ,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,57.02,METAR KLGA 010600Z 20005KT 8SM CLR 14/05 A//// RMK SLP244 60630 T01390050,NA
LGA,1973-05-01T07:00:00Z,-73.8803,40.7794,53.96,41,61.41,240,4,NA,30.25,1024.4,8,NA,CLR,   ,   ,   ,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,53.96,METAR KLGA 010700Z 24004KT 8SM CLR 12/05 A3025 RMK SLP244 T01220050,NA
LGA,1973-05-01T08:00:00Z,-73.8803,40.7794,53.96,41,61.41,230,4,NA,30.27,1025.1,9,NA,CLR,   ,   ,   ,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,53.96,METAR KLGA 010800Z 23004KT 9SM CLR 12/05 A3027 RMK SLP251 T01220050,NA
LGA,1973-05-01T09:00:00Z,-73.8803,40.7794,53.06,41,63.47,200,4,NA,30.28,1025.4,8,NA,CLR,   ,   ,   ,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,53.06,METAR KLGA 010900Z 20004KT 8SM CLR 12/05 A3028 RMK SLP254 T01170050,NA
