Entity,Code,Year,Event,Value
Australasia,NA,1980,Moderate bleaching events (1-30% bleached),3
Australasia,NA,1980,Severe bleaching events (>30% bleached),0
Australasia,NA,1981,Moderate bleaching events (1-30% bleached),1
Australasia,NA,1981,Severe bleaching events (>30% bleached),0
Australasia,NA,1982,Moderate bleaching events (1-30% bleached),0
Australasia,NA,1982,Severe bleaching events (>30% bleached),0
Australasia,NA,1983,Moderate bleaching events (1-30% bleached),3
Australasia,NA,1983,Severe bleaching events (>30% bleached),1
Australasia,NA,1984,Moderate bleaching events (1-30% bleached),1
Australasia,NA,1984,Severe bleaching events (>30% bleached),0
Australasia,NA,1985,Moderate bleaching events (1-30% bleached),0
Australasia,NA,1985,Severe bleaching events (>30% bleached),0
Australasia,NA,1986,Moderate bleaching events (1-30% bleached),2
Australasia,NA,1986,Severe bleaching events (>30% bleached),0
Australasia,NA,1987,Moderate bleaching events (1-30% bleached),1
Australasia,NA,1987,Severe bleaching events (>30% bleached),1
Australasia,NA,1988,Moderate bleaching events (1-30% bleached),1
Australasia,NA,1988,Severe bleaching events (>30% bleached),1
Australasia,NA,1989,Moderate bleaching events (1-30% bleached),0
Australasia,NA,1989,Severe bleaching events (>30% bleached),0
Australasia,NA,1990,Moderate bleaching events (1-30% bleached),0
Australasia,NA,1990,Severe bleaching events (>30% bleached),0
Australasia,NA,1991,Moderate bleaching events (1-30% bleached),0
Australasia,NA,1991,Severe bleaching events (>30% bleached),1
Australasia,NA,1992,Moderate bleaching events (1-30% bleached),1
Australasia,NA,1992,Severe bleaching events (>30% bleached),0
Australasia,NA,1993,Moderate bleaching events (1-30% bleached),0
Australasia,NA,1993,Severe bleaching events (>30% bleached),1
Australasia,NA,1994,Moderate bleaching events (1-30% bleached),1
Australasia,NA,1994,Severe bleaching events (>30% bleached),0
Australasia,NA,1995,Moderate bleaching events (1-30% bleached),1
Australasia,NA,1995,Severe bleaching events (>30% bleached),1
Australasia,NA,1996,Moderate bleaching events (1-30% bleached),0
Australasia,NA,1996,Severe bleaching events (>30% bleached),0
Australasia,NA,1997,Moderate bleaching events (1-30% bleached),2
Australasia,NA,1997,Severe bleaching events (>30% bleached),0
Australasia,NA,1998,Moderate bleaching events (1-30% bleached),1
Australasia,NA,1998,Severe bleaching events (>30% bleached),19
Australasia,NA,1999,Moderate bleaching events (1-30% bleached),2
Australasia,NA,1999,Severe bleaching events (>30% bleached),0
Australasia,NA,2000,Moderate bleaching events (1-30% bleached),2
Australasia,NA,2000,Severe bleaching events (>30% bleached),2
